"","Number","ADM1_NAME","Value","ADM0_NAME","ADM0_NAME_filename","ADM1_NAME_filename","ADM0_NAME_Value"
"1050",1050,"Hallands Laen",1050,"Sweden","Sweden","Sweden__Hallands_Laen",240
"1051",1051,"Hama",1051,"Syrian Arab Republic","Syrian_Arab_Republic","Syrian_Arab_Republic__Hama",242
"1052",1052,"Hamad Town",1052,"Bahrain","Bahrain","Bahrain__Hamad_Town",22
"1053",1053,"Hamburg",1053,"Germany","Germany","Germany__Hamburg",94
"1054",1054,"Hamedan",1054,"Iran  (Islamic Republic of)","Iran__(Islamic_Republic_of)","Iran__(Islamic_Republic_of)__Hamedan",120
"1055",1055,"Hamgyong-bukto",1055,"Dem People's Rep of Korea","Dem_People's_Rep_of_Korea","Dem_People's_Rep_of_Korea__Hamgyong-bukto",68
"1056",1056,"Hamgyong-namdo",1056,"Dem People's Rep of Korea","Dem_People's_Rep_of_Korea","Dem_People's_Rep_of_Korea__Hamgyong-namdo",68
"1057",1057,"Hamrun",1057,"Malta","Malta","Malta__Hamrun",158
"1058",1058,"Hanover",1058,"Jamaica","Jamaica","Jamaica__Hanover",126
"1059",1059,"Harare",1059,"Zimbabwe","Zimbabwe","Zimbabwe__Harare",276
"1060",1060,"Hardap",1060,"Namibia","Namibia","Namibia__Hardap",175
"1061",1061,"Hareri",1061,"Ethiopia","Ethiopia","Ethiopia__Hareri",80
"1062",1062,"Harghita",1062,"Romania","Romania","Romania__Harghita",207
"1063",1063,"Harju maakond",1063,"Estonia","Estonia","Estonia__Harju_maakond",79
"1064",1064,"Haryana",1064,"India","India","India__Haryana",118
"1065",1065,"Has",1065,"Albania","Albania","Albania__Has",4
"1066",1066,"Haskovo",1066,"Bulgaria","Bulgaria","Bulgaria__Haskovo",42
"1067",1067,"Hassakeh",1067,"Syrian Arab Republic","Syrian_Arab_Republic","Syrian_Arab_Republic__Hassakeh",242
"1068",1068,"Hatay",1068,"Turkey","Turkey","Turkey__Hatay",254
"1069",1069,"Hato Mayor",1069,"Dominican Republic","Dominican_Republic","Dominican_Republic__Hato_Mayor",73
"1070",1070,"Hau Giang",1070,"Viet Nam","Viet_Nam","Viet_Nam__Hau_Giang",269
"1071",1071,"Haut-Mbomou",1071,"Central African Republic","Central_African_Republic","Central_African_Republic__Haut-Mbomou",51
"1072",1072,"Haut-Ogooue",1072,"Gabon","Gabon","Gabon__Haut-Ogooue",90
"1073",1073,"Haute Matsiatra",1073,"Madagascar","Madagascar","Madagascar__Haute_Matsiatra",152
"1074",1074,"Haute-Kotto",1074,"Central African Republic","Central_African_Republic","Central_African_Republic__Haute-Kotto",51
"1075",1075,"Haute-Normandie",1075,"France","France","France__Haute-Normandie",86
"1076",1076,"Hauts-bassins",1076,"Burkina Faso","Burkina_Faso","Burkina_Faso__Hauts-bassins",43
"1077",1077,"Hawaii",1077,"United States of America","United_States_of_America","United_States_of_America__Hawaii",263
"1078",1078,"Hawalli",1078,"Kuwait","Kuwait","Kuwait__Hawalli",139
"1079",1079,"Hawar Island",1079,"Bahrain","Bahrain","Bahrain__Hawar_Island",22
"1080",1080,"Hawke's Bay",1080,"New Zealand","New_Zealand","New_Zealand__Hawke's_Bay",182
"1081",1081,"Hebei Sheng",1081,"China","China","China__Hebei_Sheng",54
"1082",1082,"Hedmark",1082,"Norway","Norway","Norway__Hedmark",189
"1083",1083,"Heilongjiang Sheng",1083,"China","China","China__Heilongjiang_Sheng",54
"1084",1084,"Henan Sheng",1084,"China","China","China__Henan_Sheng",54
"1085",1085,"Herceg Novi",1085,"Montenegro","Montenegro","Montenegro__Herceg_Novi",170
"1086",1086,"Heredia",1086,"Costa Rica","Costa_Rica","Costa_Rica__Heredia",63
"1087",1087,"Herm",1087,"Guernsey","Guernsey","Guernsey__Herm",104
"1088",1088,"Herrera",1088,"Panama","Panama","Panama__Herrera",194
"1089",1089,"Hessen",1089,"Germany","Germany","Germany__Hessen",94
"1090",1090,"Heves",1090,"Hungary","Hungary","Hungary__Heves",115
"1091",1091,"Hhohho",1091,"Swaziland","Swaziland","Swaziland__Hhohho",239
"1092",1092,"Hidalgo",1092,"Mexico","Mexico","Mexico__Hidalgo",164
"1093",1093,"Hidd",1093,"Bahrain","Bahrain","Bahrain__Hidd",22
"1094",1094,"Hiiu maakond",1094,"Estonia","Estonia","Estonia__Hiiu_maakond",79
"1095",1095,"Hilmand",1095,"Afghanistan","Afghanistan","Afghanistan__Hilmand",2
"1096",1096,"Himachal Pradesh",1096,"India","India","India__Himachal_Pradesh",118
"1097",1097,"Hiraan",1097,"Somalia","Somalia","Somalia__Hiraan",229
"1098",1098,"Hirat",1098,"Afghanistan","Afghanistan","Afghanistan__Hirat",2
"1099",1099,"Hirosima",1099,"Japan","Japan","Japan__Hirosima",128
"1100",1100,"Ho Chi Minh City",1100,"Viet Nam","Viet_Nam","Viet_Nam__Ho_Chi_Minh_City",269
"1101",1101,"Hoa Binh",1101,"Viet Nam","Viet_Nam","Viet_Nam__Hoa_Binh",269
"1102",1102,"Hodh Ech Chargi",1102,"Mauritania","Mauritania","Mauritania__Hodh_Ech_Chargi",161
"1103",1103,"Hodh El Gharbi",1103,"Mauritania","Mauritania","Mauritania__Hodh_El_Gharbi",161
"1104",1104,"Hoima",1104,"Uganda","Uganda","Uganda__Hoima",259
