Site name,Site #,U_depth,L_depth,mid_point,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
RC99 S1,M0018,0.5,0.52,0.51,0.33,0.12,0.15,0.33,67.13,,,33.56,,,0.111,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.52,0.54,0.53,0.41,0.13,0.16,0.41,65.27,,,32.64,,,0.134,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.54,0.56,0.55,0.34,0.15,0.17,0.34,60.58,,,30.29,,,0.102,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.56,0.58,0.57,0.35,0.17,0.18,0.35,56.72,,,28.36,,,0.098,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.58,0.6,0.59,0.22,0.15,0.17,0.22,59.91,,1.15,29.96,,,0.067,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.02,0.04,0.03,0.17,0.2,0.21,0.17,50.97,,1.15,25.48,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.04,0.06,0.05,0.17,0.22,0.23,0.17,47.34,,1.15,23.67,,,0.04,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.06,0.08,0.07,0.2,0.22,0.22,0.2,47.71,,1.15,23.85,,,0.047,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.08,0.1,0.09,0.18,0.22,0.22,0.18,48.02,,1.15,24.01,,,0.043,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.1,0.12,0.11,0.22,0.2,0.21,0.22,50.97,,1.15,25.49,,,0.057,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.12,0.14,0.13,0.18,0.19,0.2,0.18,52.14,,1.15,26.07,,,0.047,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.14,0.16,0.15,0.21,0.19,0.2,0.21,53.23,,1.15,26.62,,,0.057,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.16,0.18,0.17,0.17,0.19,0.2,0.17,52.81,,1.15,26.4,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.18,0.2,0.19,0.25,0.18,0.2,0.25,54.1,,1.15,27.05,,,0.067,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.2,0.22,0.21,0.18,0.17,0.19,0.18,55.93,,1.15,27.97,,,0.05,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.22,0.24,0.23,0.21,0.19,0.2,0.21,52.81,,1.15,26.41,,,0.056,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.24,0.26,0.25,0.25,0.19,0.2,0.25,53.71,,1.15,26.85,,,0.067,N,1997,,,,,,,,,,,,,,,,
