,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
RC99 S3,M0019,0.24,0.26,0.250,,,0.25,0.19,0.20,0.25,53.71,,1.15,26.85,,,0.067,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.26,0.28,0.270,,,0.23,0.18,0.19,0.23,54.18,,1.15,27.09,,,0.063,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.28,0.3,0.290,,,0.23,0.17,0.19,0.23,55.98,,1.15,27.99,,,0.064,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.3,0.32,0.310,,,0.23,0.19,0.20,0.23,53.79,,1.15,26.90,,,0.061,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.32,0.34,0.330,,,0.23,0.17,0.19,0.23,55.85,,1.15,27.93,,,0.065,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.34,0.36,0.350,,,0.24,0.17,0.18,0.24,57.51,,1.15,28.76,,,0.068,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.36,0.38,0.370,,,0.24,0.17,0.18,0.24,56.99,,1.15,28.49,,,0.068,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.38,0.4,0.390,,,0.23,0.17,0.18,0.23,57.37,,1.15,28.69,,,0.065,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.4,0.42,0.410,,,0.25,0.16,0.18,0.25,57.56,,,28.78,,,0.073,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.42,0.44,0.430,,,0.23,0.17,0.18,0.23,57.25,,,28.62,,,0.067,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.44,0.46,0.450,,,0.23,0.16,0.18,0.23,57.62,,,28.81,,,0.065,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.46,0.48,0.470,,,0.24,0.17,0.18,0.24,57.42,,,28.71,,,0.069,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.48,0.5,0.490,,,0.27,0.17,0.19,0.27,55.71,,,27.85,,,0.076,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.5,0.52,0.510,,,0.24,0.16,0.18,0.24,58.26,,,29.13,,,0.069,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.52,0.54,0.530,,,0.25,0.16,0.18,0.25,58.26,,,29.13,,,0.073,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.54,0.56,0.550,,,0.25,0.16,0.18,0.25,59.03,,,29.52,,,0.073,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.56,0.58,0.570,,,0.22,0.18,0.19,0.22,55.12,,,27.56,,,0.061,N,1997,,,,,,,,,,,,,,,,
RC99 S3,M0019,0.58,0.6,0.590,,,0.18,0.17,0.18,0.18,56.89,,,28.45,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0,0.02,0.010,,,0.13,0.30,0.30,0.13,36.46,,1.55,18.23,,,0.023,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.02,0.04,0.030,,,0.15,0.31,0.31,0.15,34.90,,1.55,17.45,,,0.027,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.04,0.06,0.050,,,0.16,0.30,0.30,0.16,36.39,,1.55,18.19,,,0.028,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.06,0.08,0.070,,,0.14,0.28,0.28,0.14,39.07,,1.55,19.53,,,0.028,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.08,0.1,0.090,,,0.14,0.28,0.27,0.14,39.64,,1.55,19.82,,,0.028,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.1,0.12,0.110,,,0.16,0.28,0.28,0.16,38.68,,1.55,19.34,,,0.031,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.12,0.14,0.130,,,0.18,0.29,0.28,0.18,38.32,,1.55,19.16,,,0.035,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.14,0.16,0.150,,,0.18,0.28,0.28,0.18,38.43,,1.55,19.22,,,0.035,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.16,0.18,0.170,,,0.18,0.28,0.28,0.18,38.95,,1.55,19.47,,,0.035,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.18,0.2,0.190,,,0.21,0.28,0.28,0.21,38.68,,1.55,19.34,,,0.041,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.2,0.22,0.210,,,0.20,0.28,0.28,0.20,39.00,,1.55,19.50,,,0.039,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.22,0.24,0.230,,,0.19,0.27,0.27,0.19,39.80,,1.55,19.90,,,0.037,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.24,0.26,0.250,,,0.22,0.27,0.27,0.22,40.00,,1.55,20.00,,,0.043,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.26,0.28,0.270,,,0.18,0.27,0.27,0.18,40.57,,1.55,20.28,,,0.037,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.28,0.3,0.290,,,0.20,0.26,0.26,0.20,41.35,,1.55,20.68,,,0.042,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.3,0.32,0.310,,,0.21,0.27,0.27,0.21,40.77,,1.55,20.38,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.32,0.34,0.330,,,0.20,0.28,0.28,0.20,39.61,,1.55,19.81,,,0.040,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.34,0.36,0.350,,,0.21,0.28,0.28,0.21,38.94,,1.55,19.47,,,0.042,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.36,0.38,0.370,,,0.22,0.28,0.28,0.22,39.20,,1.55,19.60,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.38,0.4,0.390,,,0.22,0.26,0.26,0.22,41.80,,1.55,20.90,,,0.045,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.4,0.42,0.410,,,0.22,0.28,0.28,0.22,39.30,,,19.65,,,0.043,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.42,0.44,0.430,,,0.20,0.30,0.29,0.20,37.02,,,18.51,,,0.038,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.44,0.46,0.450,,,0.20,0.31,0.31,0.20,35.06,,,17.53,,,0.034,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.46,0.48,0.470,,,0.20,0.34,0.34,0.20,32.33,,,16.16,,,0.032,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.48,0.5,0.490,,,0.21,0.33,0.33,0.21,33.27,,,16.64,,,0.035,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.5,0.52,0.510,,,0.18,0.33,0.33,0.18,33.52,,,16.76,,,0.031,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.52,0.54,0.530,,,0.22,0.32,0.32,0.22,34.23,,,17.11,,,0.037,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.54,0.56,0.550,,,0.24,0.31,0.31,0.24,34.82,,,17.41,,,0.041,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.56,0.58,0.570,,,0.20,0.34,0.35,0.20,31.41,,,15.71,,,0.032,N,1997,,,,,,,,,,,,,,,,
RC99 S4,M0020,0.58,0.6,0.590,,,0.12,0.35,0.35,0.12,31.28,,,15.64,,,0.019,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0,0.02,0.010,,,0.15,0.50,0.51,0.51,18.50,,2.33,9.25,,,0.048,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.02,0.04,0.030,,,0.14,0.50,0.51,0.51,18.68,,2.33,9.34,,,0.048,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.04,0.06,0.050,,,0.14,0.49,0.51,0.51,19.01,,2.33,9.51,,,0.048,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.06,0.08,0.070,,,0.11,0.46,0.48,0.48,20.77,,2.33,10.39,,,0.050,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.08,0.1,0.090,,,0.09,0.45,0.46,0.46,21.94,,2.33,10.97,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.1,0.12,0.110,,,0.11,0.45,0.46,0.46,21.74,,2.33,10.87,,,0.050,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.12,0.14,0.130,,,0.12,0.46,0.47,0.47,21.36,,2.33,10.68,,,0.050,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.14,0.16,0.150,,,0.13,0.47,0.48,0.48,20.47,,2.33,10.23,,,0.049,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.16,0.18,0.170,,,0.14,0.49,0.50,0.50,19.30,,2.33,9.65,,,0.048,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.18,0.2,0.190,,,0.13,0.47,0.49,0.49,20.20,,2.33,10.10,,,0.049,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.2,0.22,0.210,,,0.14,0.48,0.50,0.50,19.52,,2.33,9.76,,,0.049,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.22,0.24,0.230,,,0.13,0.48,0.49,0.49,19.70,,2.33,9.85,,,0.049,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.24,0.26,0.250,,,0.14,0.49,0.50,0.50,19.14,,2.33,9.57,,,0.048,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.26,0.28,0.270,,,0.16,0.50,0.52,0.52,18.19,,2.33,9.09,,,0.047,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.28,0.3,0.290,,,0.16,0.52,0.54,0.54,16.89,,2.33,8.44,,,0.046,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.3,0.32,0.310,,,0.16,0.54,0.56,0.56,16.04,,2.33,8.02,,,0.045,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.32,0.34,0.330,,,0.15,0.55,0.57,0.57,15.46,,2.33,7.73,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.34,0.36,0.350,,,0.13,0.55,0.57,0.57,15.52,,2.33,7.76,,,0.044,N,1997,,,,,,,,,,,,,,,,
RC99 S6,M0021,0.36,0.38,0.370,,,0.14,0.55,0.56,0.56,15.67,,2.33,7.83,,,0.044,N,1997,,,,,,,,,,,,,,,,
