,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
AGD14 BR 7,M1314,0.47,0.53,0.500,,,0.36,0.43,0.44,0.36,23.65,,,11.83,,,0.042,N/A,,,,,,,,,,,,,,,,,
AGD14 BR 7,M1314,0.53,0.59,0.560,,,0.68,0.27,0.27,0.27,40.05,,,20.03,,,0.054,N/A,,,,,,,,,,,,,,,,,
AGD14 BR 7,M1314,0.59,0.65,0.620,,,0.39,0.50,0.52,0.39,18.42,,,9.21,,,0.035,N/A,,,,,,,,,,,,,,,,,
AGD14 BR 7,M1314,0.65,0.71,0.680,,,0.56,0.49,0.51,0.56,19.00,,,9.50,,,0.053,N/A,,,,,,,,,,,,,,,,,
AGD14 BR 7,M1314,0.71,0.77,0.740,,,0.54,0.52,0.53,0.54,17.38,,,8.69,,,0.047,N/A,,,,,,,,,,,,,,,,,
AGD14 BR 7,M1314,0.89,0.83,0.860,,,0.61,0.50,0.51,0.61,18.48,,,9.24,,,0.057,N/A,,,,,,,,,,,,,,,,,
AGD14 BR 7,M1314,0.83,0.89,0.860,,,0.62,0.55,0.57,0.62,15.36,,,7.68,,,0.047,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0,0.05,0.025,,,1.54,0.77,0.77,0.77,7.11,,,3.55,,,0.027,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.05,0.11,0.080,,,1.02,0.75,0.76,0.76,7.44,,,3.72,,,0.028,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.11,0.23,0.170,,,1.51,0.56,0.58,0.58,14.83,,,7.41,,,0.043,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.23,0.35,0.290,,,1.03,0.29,0.29,0.29,37.38,,,18.69,,,0.055,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.35,0.41,0.380,,,1.05,0.56,0.58,0.58,14.76,,,7.38,,,0.043,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.41,0.47,0.440,,,1.15,0.29,0.29,0.29,37.79,,,18.90,,,0.055,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.47,0.53,0.500,,,0.90,0.66,0.68,0.90,10.37,,,5.18,,,0.046,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.53,0.59,0.560,,,0.74,0.25,0.25,0.25,43.11,,,21.56,,,0.054,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.59,0.65,0.620,,,0.80,0.49,0.50,0.50,19.08,,,9.54,,,0.048,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.65,0.71,0.680,,,1.20,0.26,0.26,0.26,42.16,,,21.08,,,0.054,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.71,0.77,0.740,,,0.97,0.39,0.39,0.39,27.23,,,13.62,,,0.053,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.77,0.83,0.800,,,0.65,0.32,0.32,0.32,34.27,,,17.13,,,0.055,N/A,,,,,,,,,,,,,,,,,
AGD14 PL 2,M1309,0.83,0.89,0.860,,,0.62,0.93,0.92,0.92,3.93,,,1.96,,,0.018,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0,0.05,0.025,,,0.62,0.66,0.67,0.62,10.62,,,5.31,,,0.033,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.05,0.11,0.080,,,0.58,0.50,0.52,0.58,18.13,,,9.06,,,0.052,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.11,0.17,0.140,,,0.59,0.63,0.64,0.59,11.71,,,5.86,,,0.034,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.17,0.23,0.200,,,0.60,0.60,0.61,0.60,13.13,,,6.57,,,0.039,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.23,0.29,0.260,,,0.66,0.59,0.61,0.66,13.32,,,6.66,,,0.044,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.29,0.35,0.320,,,0.63,0.60,0.62,0.63,12.84,,,6.42,,,0.041,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.35,0.41,0.380,,,0.62,0.00,0.11,0.11,98.95,,,49.48,,,0.054,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.41,0.47,0.440,,,0.63,0.61,0.63,0.63,12.55,,,6.28,,,0.040,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.47,0.53,0.500,,,0.78,0.62,0.64,0.78,12.05,,,6.03,,,0.047,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.53,0.59,0.560,,,0.81,0.65,0.66,0.81,10.96,,,5.48,,,0.044,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.59,0.65,0.620,,,0.93,0.69,0.70,0.93,9.24,,,4.62,,,0.043,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.65,0.71,0.680,,,0.91,0.69,0.70,0.91,9.32,,,4.66,,,0.042,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.71,0.77,0.740,,,0.84,0.70,0.71,0.84,9.00,,,4.50,,,0.038,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.77,0.83,0.800,,,0.97,0.72,0.73,0.97,8.43,,,4.21,,,0.041,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.83,0.89,0.860,,,1.25,0.76,0.76,0.76,7.29,,,3.64,,,0.028,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 1,M1315,0.89,0.95,0.920,,,1.35,0.76,0.76,0.76,7.27,,,3.63,,,0.028,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0,0.05,0.025,,,,0.53,0.55,0.55,16.45,,,8.22,,,0.045,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0.05,0.11,0.080,,,0.77,0.29,0.29,0.29,37.85,,,18.93,,,0.055,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0.11,0.17,0.140,,,0.60,0.42,0.43,0.60,24.00,,,12.00,,,0.072,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0.17,0.23,0.200,,,0.51,0.52,0.53,0.51,17.39,,,8.69,,,0.044,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0.23,0.29,0.260,,,0.63,0.64,0.66,0.63,11.06,,,5.53,,,0.035,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0.29,0.35,0.320,,,0.53,0.60,0.62,0.53,12.83,,,6.41,,,0.034,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0.35,0.47,0.410,,,1.37,0.87,0.86,0.86,4.80,,,2.40,,,0.021,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0.47,0.53,0.500,,,1.25,0.81,0.81,0.81,6.01,,,3.01,,,0.024,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0.53,0.59,0.560,,,1.50,0.89,0.88,0.88,4.51,,,2.26,,,0.020,N/A,,,,,,,,,,,,,,,,,
AGD14 TM 6,M1316,0.59,0.65,0.620,,,1.75,0.96,0.95,0.95,3.51,,,1.76,,,0.017,N/A,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0,0.02,0.010,,,,0.87,0.86,0.86,,2.42,,2.42,,,0.021,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.02,0.04,0.030,,,,0.87,0.85,0.85,,2.48,,2.48,,,0.021,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.04,0.06,0.050,,,,0.85,0.84,0.84,,2.66,,2.66,,,0.022,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.06,0.08,0.070,,,,0.84,0.83,0.83,,2.71,,2.71,,,0.023,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.08,0.1,0.090,,,,0.84,0.83,0.83,,2.71,,2.71,,,0.023,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.1,0.12,0.110,,,,0.87,0.86,0.86,,2.42,,2.42,,,0.021,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.12,0.14,0.130,,,,0.87,0.86,0.86,,2.42,,2.42,,,0.021,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.14,0.16,0.150,,,,0.87,0.86,0.86,,2.45,,2.45,,,0.021,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.16,0.18,0.170,,,,0.90,0.88,0.88,,2.23,,2.23,,,0.020,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.18,0.2,0.190,,,,0.94,0.92,0.92,,1.92,,1.92,,,0.018,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.2,0.25,0.225,,,,0.99,0.99,0.99,,1.55,,1.55,,,0.015,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.25,0.3,0.275,,,,1.00,1.00,1.00,,1.50,,1.50,,,0.015,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.3,0.35,0.325,,,,1.04,1.04,1.04,,1.31,,1.31,,,0.014,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.35,0.4,0.375,,,,1.05,1.05,1.05,,1.24,,1.24,,,0.013,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.4,0.5,0.450,,,,1.10,1.11,1.11,,1.04,,1.04,,,0.012,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.5,0.6,0.550,,,,1.21,1.24,1.24,,0.67,,0.67,,,0.008,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.6,0.7,0.650,,,,1.33,1.35,1.35,,0.43,,0.43,,,0.006,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.7,0.8,0.750,,,,1.31,1.33,1.33,,0.45,,0.45,,,0.006,N,,,,,,,,,,,,,,,,,
JPZ12 Sites 1-2,M1317,0.8,1,0.900,,,,1.40,1.41,1.41,,0.32,,0.32,,,0.004,N,,,,,,,,,,,,,,,,,
CJO16 Tall Mangrove,M1318,0,0.3,0.150,,,,#NUM!,1.62,1.62,,,,0.00,,88.5,0.030,Y,,,,,,,,,,,,,,,,,
CJO16 Shrub Mangrove,M1319,0,0.3,0.150,,,,#NUM!,1.62,1.62,,,,0.00,,79.2,0.026,Y,,,,,,,,,,,,,,,,,
CJO16 Dwarf Mangrove,M1320,0,0.3,0.150,,,,#NUM!,1.62,1.62,,,,0.00,,74.5,0.025,Y,,,,,,,,,,,,,,,,,
WT03 Mangrove Sediment,M1321,0,0.02,0.010,,,,0.90,0.89,0.89,,2.20,0.17,2.20,,,0.019,Y,,,,,,,,,,,,,,,,,
EK92 Dry Site,M1322,0,0.01,0.005,,,,1.09,1.10,1.10,5.30,1.07,,1.07,,,0.012,N,,,,,,,,,,,,,,,,,
EK92 Dry Site,M1322,0.01,0.02,0.015,,,,1.12,1.13,1.13,4.80,0.96,,0.96,,,0.011,N,,,,,,,,,,,,,,,,,
EK92 Dry Site,M1322,0.02,0.03,0.025,,,,1.14,1.16,1.16,4.50,0.88,,0.88,,,0.010,N,,,,,,,,,,,,,,,,,
EK92 Dry Site,M1322,0.03,0.04,0.035,,,,1.17,1.19,1.19,4.30,0.79,,0.79,,,0.009,N,,,,,,,,,,,,,,,,,
EK92 Dry Site,M1322,0.04,0.06,0.050,,,,1.20,1.22,1.22,3.70,0.71,,0.71,,,0.009,N,,,,,,,,,,,,,,,,,
EK92 Dry Site,M1322,0.06,0.08,0.070,,,,1.27,1.29,1.29,3.10,0.54,,0.54,,,0.007,N,,,,,,,,,,,,,,,,,
EK92 Dry Site,M1322,0.08,0.1,0.090,,,,1.30,1.32,1.32,2.00,0.48,,0.48,,,0.006,N,,,,,,,,,,,,,,,,,
EK00 MB,M1323,0,0.01,0.005,,,,1.32,1.34,1.34,,0.44,,0.44,,,0.006,N,,,,,,,,,,,,,,,,,
EK00 MB,M1323,0.02,0.03,0.025,,,,1.31,1.33,1.33,,0.46,,0.46,,,0.006,N,,,,,,,,,,,,,,,,,
EK00 MB,M1323,0.06,0.08,0.070,,,,1.34,1.36,1.36,,0.41,,0.41,,,0.006,N,,,,,,,,,,,,,,,,,
EK00 MB,M1323,0.14,0.16,0.150,,,,1.34,1.35,1.35,,0.41,,0.41,,,0.006,N,,,,,,,,,,,,,,,,,
ND14 Avicennia,M1324,0,0.15,0.075,,,,0.48,0.49,0.49,19.72,,,9.86,,,0.049,N/A,,,,,,,,,,,,,,,,,
ND14 Rhizophora,M1325,0,0.15,0.075,,,,0.89,0.87,0.87,4.59,,,2.30,,,0.020,N/A,,,,,,,,,,,,,,,,,
ND14 Lumnitzera,M1326,0,0.15,0.075,,,,0.88,0.87,0.87,4.72,,,2.36,,,0.020,N/A,,,,,,,,,,,,,,,,,
SDF94 1,M1327,0,0.45,0.225,,,,0.98,0.98,0.98,3.20,,,1.60,,,0.016,N/A,,,,,,,,,,,,,,,,,
SDF94 2,M1328,0,0.45,0.225,,,,1.01,1.00,1.00,2.95,,,1.48,,,0.015,N/A,,,,,,,,,,,,,,,,,
SDF94 3,M1329,0,0.45,0.225,,,,0.99,0.98,0.98,3.10,,,1.55,,,0.015,N/A,,,,,,,,,,,,,,,,,
SDF94 4,M1330,0,0.45,0.225,,,,1.13,1.14,1.14,1.85,,,0.93,,,0.011,N/A,,,,,,,,,,,,,,,,,
SDF94 5,M1331,0,0.45,0.225,,,,1.06,1.06,1.06,2.45,,,1.23,,,0.013,N/A,,,,,,,,,,,,,,,,,
BKHL72 Station I,M1332,0,0.0762,0.038,,,,0.32,0.32,0.32,34.60,,,17.30,,,0.055,N/A,,,,,,,,,,,,,,,,,
XLO09 Laguncularia,M1333,0,0.03,0.015,,,,0.89,0.87,0.87,,2.30,,2.30,,,0.020,N,,,,,,,,,,,,,,,,,
XLO09 Laguncularia,M1333,0.1,0.15,0.125,,,,0.89,0.87,0.87,,2.30,,2.30,,,0.020,N,,,,,,,,,,,,,,,,,
XLO09 Laguncularia,M1333,0.15,0.2,0.175,,,,0.92,0.91,0.91,,2.00,,2.00,,,0.018,N,,,,,,,,,,,,,,,,,
XLO09 Laguncularia,M1333,0.2,0.25,0.225,,,,0.95,0.94,0.94,,1.80,,1.80,,,0.017,N,,,,,,,,,,,,,,,,,
XLO09 Laguncularia,M1333,0.25,0.3,0.275,,,,1.14,1.15,1.15,,0.90,,0.90,,,0.010,N,,,,,,,,,,,,,,,,,
XLO09 Rhizophora,M1334,0,0.03,0.015,,,,0.64,0.66,0.66,,5.60,,5.60,,,0.037,N,,,,,,,,,,,,,,,,,
XLO09 Rhizophora,M1334,0.1,0.15,0.125,,,,0.64,0.66,0.66,,5.60,,5.60,,,0.037,N,,,,,,,,,,,,,,,,,
XLO09 Rhizophora,M1334,0.15,0.2,0.175,,,,0.68,0.69,0.69,,4.80,,4.80,,,0.033,N,,,,,,,,,,,,,,,,,
XLO09 Rhizophora,M1334,0.2,0.25,0.225,,,,0.66,0.67,0.67,,5.20,,5.20,,,0.035,N,,,,,,,,,,,,,,,,,
XLO09 Rhizophora,M1334,0.35,0.4,0.375,,,,0.63,0.65,0.65,,5.80,,5.80,,,0.038,N,,,,,,,,,,,,,,,,,
XLO09 Avicennia,M1335,0,0.03,0.015,,,,0.58,0.60,0.60,,7.00,,7.00,,,0.042,N,,,,,,,,,,,,,,,,,
XLO09 Avicennia,M1335,0.03,0.06,0.045,,,,0.61,0.62,0.62,,6.30,,6.30,,,0.039,N,,,,,,,,,,,,,,,,,
XLO09 Avicennia,M1335,0.1,0.15,0.125,,,,0.68,0.69,0.69,,4.90,,4.90,,,0.034,N,,,,,,,,,,,,,,,,,
XLO09 Avicennia,M1335,0.15,0.2,0.175,,,,0.65,0.67,0.67,,5.40,,5.40,,,0.036,N,,,,,,,,,,,,,,,,,
XLO09 Avicennia,M1335,0.2,0.25,0.225,,,,0.59,0.60,0.60,,6.80,,6.80,,,0.041,N,,,,,,,,,,,,,,,,,
XLO09 Avicennia,M1335,0.25,0.3,0.275,,,,0.63,0.65,0.65,,5.80,,5.80,,,0.038,N,,,,,,,,,,,,,,,,,
XLO09 Avicennia,M1335,0.3,0.35,0.325,,,,0.81,0.80,0.80,,3.10,,3.10,,,0.025,N,,,,,,,,,,,,,,,,,
ANMM11 Averaged,M1336,0,0.3,0.150,,,,0.11,0.15,0.15,67.98,,,33.99,,,0.051,N,,,,,,,,,,,,,,,,,
ANMM11 Averaged,M1336,0.3,0.6,0.450,,,,0.09,0.14,0.14,72.84,,,36.42,,,0.051,N,,,,,,,,,,,,,,,,,
ANMM11 Averaged,M1336,0.6,1,0.800,,,,0.08,0.13,0.13,76.16,,,38.08,,,0.051,N,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 1,M1337,0,0.01,0.005,,,,0.93,0.92,0.92,3.93,,,1.97,,,0.018,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 2,M1338,0,0.01,0.005,,,,0.81,0.80,0.80,6.14,,,3.07,,,0.025,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 3,M1339,0,0.01,0.005,,,,0.78,0.78,0.78,6.81,,,3.41,,,0.026,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 4,M1340,0,0.01,0.005,,,,0.88,0.87,0.87,4.71,,,2.36,,,0.020,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 5,M1341,0,0.01,0.005,,,,0.69,0.70,0.70,9.24,,,4.62,,,0.033,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 6,M1342,0,0.01,0.005,,,,0.67,0.68,0.68,10.21,,,5.10,,,0.035,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 7,M1343,0,0.01,0.005,,,,0.65,0.66,0.66,11.01,,,5.51,,,0.036,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 8,M1344,0,0.01,0.005,,,,0.72,0.72,0.72,8.54,,,4.27,,,0.031,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 9,M1345,0,0.01,0.005,,,,0.67,0.69,0.69,9.95,,,4.97,,,0.034,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 10,M1346,0,0.01,0.005,,,,0.61,0.62,0.62,12.68,,,6.34,,,0.040,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 11,M1347,0,0.01,0.005,,,,0.65,0.66,0.66,10.82,,,5.41,,,0.036,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 12,M1348,0,0.01,0.005,,,,0.59,0.60,0.60,13.63,,,6.81,,,0.041,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 13,M1349,0,0.01,0.005,,,,0.66,0.67,0.67,10.45,,,5.23,,,0.035,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 14,M1350,0,0.01,0.005,,,,0.67,0.68,0.68,10.05,,,5.03,,,0.034,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 15,M1351,0,0.01,0.005,,,,0.63,0.65,0.65,11.61,,,5.80,,,0.038,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 16,M1352,0,0.01,0.005,,,,0.66,0.67,0.67,10.61,,,5.31,,,0.036,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 17,M1353,0,0.01,0.005,,,,0.69,0.70,0.70,9.38,,,4.69,,,0.033,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 18,M1354,0,0.01,0.005,,,,0.65,0.66,0.66,10.98,,,5.49,,,0.036,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 19,M1355,0,0.01,0.005,,,,0.80,0.80,0.80,6.25,,,3.13,,,0.025,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 20,M1356,0,0.01,0.005,,,,0.92,0.91,0.91,4.09,,,2.04,,,0.019,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect A Core 21,M1357,0,0.01,0.005,,,,1.05,1.05,1.05,2.49,,,1.24,,,0.013,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 1,M1358,0,0.01,0.005,,,,0.63,0.64,0.64,11.83,,,5.92,,,0.038,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 2,M1359,0,0.01,0.005,,,,0.74,0.75,0.75,7.76,,,3.88,,,0.029,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 3,M1360,0,0.01,0.005,,,,0.76,0.76,0.76,7.26,,,3.63,,,0.028,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 4,M1361,0,0.01,0.005,,,,0.91,0.90,0.90,4.20,,,2.10,,,0.019,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 5,M1362,0,0.01,0.005,,,,0.87,0.86,0.86,4.93,,,2.47,,,0.021,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 6,M1363,0,0.01,0.005,,,,1.11,1.12,1.12,1.99,,,1.00,,,0.011,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 7,M1364,0,0.01,0.005,,,,1.03,1.03,1.03,2.66,,,1.33,,,0.014,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 8,M1365,0,0.01,0.005,,,,1.14,1.16,1.16,1.76,,,0.88,,,0.010,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 9,M1366,0,0.01,0.005,,,,1.14,1.15,1.15,1.79,,,0.90,,,0.010,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 10,M1367,0,0.01,0.005,,,,1.07,1.08,1.08,2.29,,,1.14,,,0.012,N/A,,,,,,,,,,,,,,,,,
NFYT98 Transect B Core 11,M1368,0,0.01,0.005,,,,1.07,1.08,1.08,2.29,,,1.14,,,0.012,N/A,,,,,,,,,,,,,,,,,
AFD14 Point 1,M1369,0,0.2,0.100,,,,0.05,0.12,0.12,85.40,,,42.70,,,0.052,N/A,,,,,,,,,,,,,,,,,
AFD14 Point 1,M1369,0.2,0.4,0.300,,,,0.04,0.12,0.12,87.40,,,43.70,,,0.052,N/A,,,,,,,,,,,,,,,,,
AFD14 Point 2,M1370,0,0.2,0.100,,,,0.07,0.13,0.13,78.20,,,39.10,,,0.051,N/A,,,,,,,,,,,,,,,,,
AFD14 Point 2,M1370,0.2,0.4,0.300,,,,0.08,0.13,0.13,77.50,,,38.75,,,0.051,N/A,,,,,,,,,,,,,,,,,
AFD14 Point 3,M1371,0,0.2,0.100,,,,0.06,0.13,0.13,80.80,,,40.40,,,0.051,N/A,,,,,,,,,,,,,,,,,
AFD14 Point 3,M1371,0.2,0.4,0.300,,,,0.07,0.13,0.13,79.20,,,39.60,,,0.051,N/A,,,,,,,,,,,,,,,,,
AFD14 Point 4,M1372,0,0.2,0.100,,,,0.06,0.13,0.13,81.80,,,40.90,,,0.051,N/A,,,,,,,,,,,,,,,,,
AFD14 Point 4,M1372,0.2,0.4,0.300,,,,0.06,0.12,0.12,82.60,,,41.30,,,0.051,N/A,,,,,,,,,,,,,,,,,
DCD11 B1 Core 1,M1435,0,0.15,0.075,,,0.32,0.51,0.53,0.32,,8.91,,8.91,,,0.029,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 1,M1435,0.15,0.3,0.225,,,0.31,0.67,0.68,0.68,,5.03,,5.03,,,0.034,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 1,M1435,0.3,0.5,0.400,,,0.33,0.55,0.57,0.33,,7.71,,7.71,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 1,M1435,0.5,1,0.750,,,0.34,0.57,0.59,0.34,,7.11,,7.11,,,0.024,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 1,M1435,1,3,2.000,,,0.50,0.60,0.62,0.50,,6.47,,6.47,,,0.032,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 2,M1436,0,0.15,0.075,,,0.26,0.57,0.59,0.59,,7.10,,7.10,,,0.042,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 2,M1436,0.15,0.3,0.225,,,0.27,0.60,0.62,0.62,,6.39,,6.39,,,0.040,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 2,M1436,0.3,0.5,0.400,,,0.26,0.59,0.61,0.61,,6.71,,6.71,,,0.041,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 2,M1436,0.5,1,0.750,,,0.30,0.57,0.59,0.59,,7.27,,7.27,,,0.043,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 2,M1436,1,3,2.000,,,0.35,0.51,0.53,0.35,,8.77,,8.77,,,0.031,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 3,M1437,0,0.15,0.075,,,0.33,0.55,0.56,0.33,,7.84,,7.84,,,0.026,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 3,M1437,0.15,0.3,0.225,,,0.32,0.53,0.54,0.32,,8.38,,8.38,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 3,M1437,0.3,0.5,0.400,,,0.29,0.50,0.52,0.29,,9.17,,9.17,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 3,M1437,0.5,1,0.750,,,0.36,0.46,0.47,0.36,,10.64,,10.64,,,0.038,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 3,M1437,1,3,2.000,,,0.41,0.49,0.51,0.41,,9.44,,9.44,,,0.039,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 4,M1438,0,0.15,0.075,,,0.31,0.51,0.53,0.31,,8.77,,8.77,,,0.027,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 4,M1438,0.15,0.3,0.225,,,0.33,0.56,0.58,0.33,,7.35,,7.35,,,0.025,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 4,M1438,0.3,0.5,0.400,,,0.29,0.49,0.50,0.29,,9.57,,9.57,,,0.028,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 4,M1438,0.5,1,0.750,,,0.27,0.46,0.47,0.27,,10.50,,10.50,,,0.028,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 4,M1438,1,3,2.000,,,0.41,0.59,0.60,0.41,,6.78,,6.78,,,0.028,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 5,M1439,0,0.15,0.075,,,0.26,0.48,0.49,0.26,,9.97,,9.97,,,0.026,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 5,M1439,0.15,0.3,0.225,,,0.32,0.44,0.45,0.32,,11.17,,11.17,,,0.036,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 5,M1439,0.3,0.5,0.400,,,0.25,0.43,0.44,0.25,,11.83,,11.83,,,0.029,N,,,,,,,,,,,,,,,,,
DCD11 B1 Core 5,M1439,0.5,1,0.750,,,0.26,0.45,0.46,0.26,,10.90,,10.90,,,0.029,N,,,,,,,,,,,,,,,,,
