"","NAMES","Value"
"733","Halifax",733
"734","Hall",734
"735","Hamblen",735
"736","Hamilton",736
"737","Hamlin",737
"738","Hampden",738
"739","Hampshire",739
"740","Hampton",740
"741","Hancock",741
"742","Hand",742
"743","Hanover",743
"744","Hansford",744
"745","Hanson",745
"746","Haralson",746
"747","Hardee",747
"748","Hardeman",748
"749","Hardin",749
"750","Harding",750
"751","Hardy",751
"752","Harford",752
"753","Harlan",753
"754","Harmon",754
"755","Harnett",755
"756","Harney",756
"757","Harper",757
"758","Harris",758
"759","Harrison",759
"760","Harrisonburg",760
"761","Hart",761
"762","Hartford",762
"763","Hartley",763
"764","Harvey",764
"765","Haskell",765
"766","Hatillo",766
"767","Hawaii",767
"768","Hawkins",768
"769","Hayes",769
"770","Hays",770
"771","Haywood",771
"772","Heard",772
"773","Hemphill",773
"774","Hempstead",774
"775","Henderson",775
"776","Hendricks",776
"777","Hendry",777
"778","Hennepin",778
"779","Henrico",779
"780","Henry",780
"781","Herkimer",781
"782","Hernando",782
"783","Hertford",783
"784","Hettinger",784
"785","Hickman",785
"786","Hickory",786
"787","Hidalgo",787
"788","Highland",788
"789","Highlands",789
"790","Hill",790
"791","Hillsborough",791
"792","Hillsdale",792
"793","Hinds",793
"794","Hinsdale",794
"795","Hitchcock",795
"796","Hocking",796
"797","Hockley",797
"798","Hodgeman",798
"799","Hoke",799
"800","Holmes",800
"801","Holt",801
"802","Honolulu",802
"803","Hood",803
"804","Hood River",804
"805","Hooker",805
"806","Hoonah-Angoon",806
"807","Hopewell",807
"808","Hopkins",808
"809","Hormigueros",809
"810","Horry",810
"811","Hot Spring",811
"812","Hot Springs",812
"813","Houghton",813
"814","Houston",814
"815","Howard",815
"816","Howell",816
"817","Hubbard",817
"818","Hudson",818
"819","Hudspeth",819
"820","Huerfano",820
"821","Hughes",821
"822","Humacao",822
"823","Humboldt",823
"824","Humphreys",824
"825","Hunt",825
"826","Hunterdon",826
"827","Huntingdon",827
"828","Huntington",828
"829","Huron",829
"830","Hutchinson",830
"831","Hyde",831
"832","Iberia",832
"833","Iberville",833
"834","Ida",834
"835","Idaho",835
"836","Imperial",836
"837","Independence",837
"838","Indiana",838
"839","Indian River",839
"840","Ingham",840
"841","Inyo",841
"842","Ionia",842
"843","Iosco",843
"844","Iowa",844
"845","Iredell",845
"846","Irion",846
"847","Iron",847
"848","Iroquois",848
"849","Irwin",849
"850","Isabela",850
"851","Isabella",851
"852","Isanti",852
"853","Island",853
"854","Isle of Wight",854
"855","Issaquena",855
"856","Itasca",856
"857","Itawamba",857
"858","Izard",858
"859","Jack",859
"860","Jackson",860
"861","James City",861
"862","Jasper",862
"863","Jay",863
"864","Jayuya",864
"865","Jeff Davis",865
"866","Jefferson",866
"867","Jefferson Davis",867
"868","Jenkins",868
"869","Jennings",869
"870","Jerauld",870
"871","Jerome",871
"872","Jersey",872
"873","Jessamine",873
"874","Jewell",874
"875","Jim Hogg",875
"876","Jim Wells",876
"877","Jo Daviess",877
"878","Johnson",878
"879","Johnston",879
"880","Jones",880
"881","Josephine",881
"882","Juab",882
"883","Juana Díaz",883
"884","Judith Basin",884
"885","Juncos",885
"886","Juneau",886
"887","Juniata",887
"888","Kalamazoo",888
"889","Kalawao",889
"890","Kalkaska",890
"891","Kanabec",891
"892","Kanawha",892
"893","Kandiyohi",893
"894","Kane",894
"895","Kankakee",895
"896","Karnes",896
"897","Kauai",897
"898","Kaufman",898
"899","Kay",899
"900","Kearney",900
"901","Kearny",901
"902","Keith",902
"903","Kemper",903
"904","Kenai Peninsula",904
"905","Kendall",905
"906","Kenedy",906
"907","Kennebec",907
"908","Kenosha",908
"909","Kent",909
"910","Kenton",910
"911","Keokuk",911
"912","Kern",912
"913","Kerr",913
"914","Kershaw",914
"915","Ketchikan Gateway",915
"916","Kewaunee",916
"917","Keweenaw",917
"918","Keya Paha",918
"919","Kidder",919
"920","Kimball",920
"921","Kimble",921
"922","King",922
"923","King and Queen",923
"924","Kingfisher",924
"925","King George",925
"926","Kingman",926
"927","Kings",927
"928","Kingsbury",928
"929","King William",929
"930","Kinney",930
"931","Kiowa",931
"932","Kit Carson",932
"933","Kitsap",933
"934","Kittitas",934
"935","Kittson",935
"936","Klamath",936
"937","Kleberg",937
"938","Klickitat",938
"939","Knott",939
"940","Knox",940
"941","Kodiak Island",941
"942","Koochiching",942
"943","Kootenai",943
"944","Kosciusko",944
"945","Kossuth",945
"946","Kusilvak",946
"947","Labette",947
"948","Lackawanna",948
"949","Laclede",949
"950","Lac qui Parle",950
"951","La Crosse",951
"952","Lafayette",952
"953","Lafourche",953
"954","LaGrange",954
"955","Lajas",955
"956","Lake",956
"957","Lake and Peninsula",957
"958","Lake of the Woods",958
"959","Lamar",959
"960","Lamb",960
"961","Lamoille",961
"962","LaMoure",962
"963","Lampasas",963
"964","Lancaster",964
"965","Lander",965
"966","Lane",966
"967","Langlade",967
"968","Lanier",968
"969","La Paz",969
"970","Lapeer",970
"971","La Plata",971
"972","LaPorte",972
"973","Laramie",973
"974","Lares",974
"975","Larimer",975
"976","Larue",976
"977","LaSalle",977
"978","La Salle",978
"979","Las Animas",979
"980","Las Marías",980
"981","Las Piedras",981
"982","Lassen",982
"983","Latah",983
"984","Latimer",984
"985","Lauderdale",985
"986","Laurel",986
"987","Laurens",987
"988","Lavaca",988
"989","Lawrence",989
"990","Lea",990
"991","Leake",991
"992","Leavenworth",992
"993","Lebanon",993
"994","Lee",994
"995","Leelanau",995
"996","Leflore",996
"997","Le Flore",997
"998","Lehigh",998
"999","Lemhi",999
"1000","Lenawee",1000
"1001","Lenoir",1001
"1002","Leon",1002
"1003","Leslie",1003
"1004","Le Sueur",1004
"1005","Letcher",1005
"1006","Levy",1006
"1007","Lewis",1007
"1008","Lewis and Clark",1008
"1009","Lexington",1009
"1010","Liberty",1010
"1011","Licking",1011
"1012","Limestone",1012
"1013","Lincoln",1013
"1014","Linn",1014
"1015","Lipscomb",1015
"1016","Litchfield",1016
"1017","Little River",1017
"1018","Live Oak",1018
"1019","Livingston",1019
"1020","Llano",1020
"1021","Logan",1021
"1022","Loíza",1022
"1023","Long",1023
"1024","Lonoke",1024
"1025","Lorain",1025
"1026","Los Alamos",1026
"1027","Los Angeles",1027
"1028","Loudon",1028
"1029","Loudoun",1029
"1030","Louisa",1030
"1031","Loup",1031
"1032","Love",1032
"1033","Loving",1033
"1034","Lowndes",1034
"1035","Lubbock",1035
"1036","Lucas",1036
"1037","Luce",1037
"1038","Lumpkin",1038
"1039","Luna",1039
"1040","Lunenburg",1040
"1041","Luquillo",1041
"1042","Luzerne",1042
"1043","Lycoming",1043
"1044","Lyman",1044
"1045","Lynchburg",1045
"1046","Lynn",1046
"1047","Lyon",1047
"1048","Mackinac",1048
"1049","Macomb",1049
"1050","Macon",1050
"1051","Macoupin",1051
"1052","Madera",1052
"1053","Madison",1053
"1054","Magoffin",1054
"1055","Mahaska",1055
"1056","Mahnomen",1056
"1057","Mahoning",1057
"1058","Major",1058
"1059","Malheur",1059
"1060","Manassas",1060
"1061","Manassas Park",1061
"1062","Manatee",1062
"1063","Manatí",1063
"1064","Manistee",1064
"1065","Manitowoc",1065
"1066","Manu'a",1066
"1067","Marathon",1067
"1068","Marengo",1068
"1069","Maricao",1069
"1070","Maricopa",1070
"1071","Maries",1071
"1072","Marin",1072
"1073","Marinette",1073
"1074","Marion",1074
"1075","Mariposa",1075
"1076","Marlboro",1076
"1077","Marquette",1077
"1078","Marshall",1078
"1079","Martin",1079
"1080","Martinsville",1080
"1081","Mason",1081
"1082","Massac",1082
"1083","Matagorda",1083
"1084","Matanuska-Susitna",1084
"1085","Mathews",1085
"1086","Maui",1086
"1087","Maunabo",1087
"1088","Maury",1088
"1089","Maverick",1089
"1090","Mayagüez",1090
"1091","Mayes",1091
"1092","McClain",1092
"1093","McCone",1093
"1094","McCook",1094
"1095","McCormick",1095
"1096","McCracken",1096
"1097","McCreary",1097
"1098","McCulloch",1098
"1099","McCurtain",1099
"1100","McDonald",1100
"1101","McDonough",1101
"1102","McDowell",1102
"1103","McDuffie",1103
"1104","McHenry",1104
"1105","McIntosh",1105
"1106","McKean",1106
"1107","McKenzie",1107
"1108","McKinley",1108
"1109","McLean",1109
"1110","McLennan",1110
"1111","McLeod",1111
"1112","McMinn",1112
"1113","McMullen",1113
"1114","McNairy",1114
"1115","McPherson",1115
"1116","Meade",1116
"1117","Meagher",1117
"1118","Mecklenburg",1118
"1119","Mecosta",1119
"1120","Medina",1120
"1121","Meeker",1121
"1122","Meigs",1122
"1123","Mellette",1123
"1124","Menard",1124
"1125","Mendocino",1125
"1126","Menifee",1126
"1127","Menominee",1127
"1128","Merced",1128
"1129","Mercer",1129
"1130","Meriwether",1130
"1131","Merrick",1131
"1132","Merrimack",1132
"1133","Mesa",1133
"1134","Metcalfe",1134
"1135","Miami",1135
"1136","Miami-Dade",1136
"1137","Middlesex",1137
"1138","Midland",1138
"1139","Mifflin",1139
"1140","Milam",1140
"1141","Millard",1141
"1142","Mille Lacs",1142
"1143","Miller",1143
"1144","Mills",1144
"1145","Milwaukee",1145
"1146","Miner",1146
"1147","Mineral",1147
"1148","Mingo",1148
"1149","Minidoka",1149
"1150","Minnehaha",1150
"1151","Missaukee",1151
"1152","Mississippi",1152
"1153","Missoula",1153
"1154","Mitchell",1154
"1155","Mobile",1155
"1156","Moca",1156
"1157","Modoc",1157
"1158","Moffat",1158
"1159","Mohave",1159
"1160","Moniteau",1160
"1161","Monmouth",1161
"1162","Mono",1162
"1163","Monona",1163
"1164","Monongalia",1164
"1165","Monroe",1165
"1166","Montague",1166
"1167","Montcalm",1167
"1168","Monterey",1168
"1169","Montezuma",1169
"1170","Montgomery",1170
"1171","Montmorency",1171
"1172","Montour",1172
"1173","Montrose",1173
"1174","Moody",1174
"1175","Moore",1175
"1176","Mora",1176
"1177","Morehouse",1177
"1178","Morgan",1178
"1179","Morovis",1179
"1180","Morrill",1180
"1181","Morris",1181
"1182","Morrison",1182
"1183","Morrow",1183
"1184","Morton",1184
"1185","Motley",1185
"1186","Moultrie",1186
"1187","Mountrail",1187
"1188","Mower",1188
"1189","Muhlenberg",1189
"1190","Multnomah",1190
"1191","Murray",1191
"1192","Muscatine",1192
"1193","Muscogee",1193
"1194","Muskegon",1194
"1195","Muskingum",1195
"1196","Muskogee",1196
"1197","Musselshell",1197
"1198","Nacogdoches",1198
"1199","Naguabo",1199
"1200","Nance",1200
"1201","Nantucket",1201
"1202","Napa",1202
"1203","Naranjito",1203
"1204","Nash",1204
"1205","Nassau",1205
"1206","Natchitoches",1206
"1207","Natrona",1207
"1208","Navajo",1208
"1209","Navarro",1209
"1210","Nelson",1210
"1211","Nemaha",1211
"1212","Neosho",1212
"1213","Neshoba",1213
"1214","Ness",1214
"1215","Nevada",1215
"1216","Newaygo",1216
"1217","Newberry",1217
"1218","New Castle",1218
"1219","New Hanover",1219
"1220","New Haven",1220
"1221","New Kent",1221
"1222","New London",1222
"1223","New Madrid",1223
"1224","Newport",1224
"1225","Newport News",1225
"1226","Newton",1226
"1227","New York",1227
"1228","Nez Perce",1228
"1229","Niagara",1229
"1230","Nicholas",1230
"1231","Nicollet",1231
"1232","Niobrara",1232
"1233","Noble",1233
"1234","Nobles",1234
"1235","Nodaway",1235
"1236","Nolan",1236
"1237","Nome",1237
"1238","Norfolk",1238
"1239","Norman",1239
"1240","Northampton",1240
"1241","Northern Islands",1241
"1242","North Slope",1242
"1243","Northumberland",1243
"1244","Northwest Arctic",1244
"1245","Norton",1245
"1246","Nottoway",1246
"1247","Nowata",1247
"1248","Noxubee",1248
"1249","Nuckolls",1249
"1250","Nueces",1250
"1251","Nye",1251
"1252","Oakland",1252
"1253","Obion",1253
"1254","O'Brien",1254
"1255","Ocean",1255
"1256","Oceana",1256
"1257","Ochiltree",1257
"1258","Oconee",1258
"1259","Oconto",1259
"1260","Ogemaw",1260
"1261","Oglala Lakota",1261
"1262","Ogle",1262
"1263","Oglethorpe",1263
"1264","Ohio",1264
"1265","Okaloosa",1265
"1266","Okanogan",1266
"1267","Okeechobee",1267
"1268","Okfuskee",1268
"1269","Oklahoma",1269
"1270","Okmulgee",1270
"1271","Oktibbeha",1271
"1272","Oldham",1272
"1273","Oliver",1273
"1274","Olmsted",1274
"1275","Oneida",1275
"1276","Onondaga",1276
"1277","Onslow",1277
"1278","Ontario",1278
"1279","Ontonagon",1279
"1280","Orange",1280
"1281","Orangeburg",1281
"1282","Oregon",1282
"1283","Orleans",1283
"1284","Orocovis",1284
"1285","Osage",1285
"1286","Osborne",1286
"1287","Osceola",1287
"1288","Oscoda",1288
"1289","Oswego",1289
"1290","Otero",1290
"1291","Otoe",1291
"1292","Otsego",1292
"1293","Ottawa",1293
"1294","Otter Tail",1294
"1295","Ouachita",1295
"1296","Ouray",1296
