"","Var1","Var2","check"
"1140","h23v04","017","OK"
"1141","h24v04","017","OK"
"1142","h25v04","017","OK"
"1143","h26v04","017","OK"
"1144","h27v04","017","OK"
"1145","h28v04","017","OK"
"1159","h06v03","017","OK"
"1160","h07v03","017","OK"
"1161","h08v03","017","OK"
"1162","h09v03","017","OK"
"1163","h10v03","017","OK"
"1164","h11v03","017","OK"
"1165","h12v03","017","OK"
"1166","h13v03","017","OK"
"1167","h14v03","017","OK"
"1168","h15v03","017","OK"
"1170","h17v03","017","OK"
"1171","h18v03","017","OK"
"1172","h19v03","017","OK"
"1173","h20v03","017","OK"
"1174","h21v03","017","OK"
"1175","h22v03","017","OK"
"1176","h23v03","017","OK"
"1177","h24v03","017","OK"
"1178","h25v03","017","OK"
"1179","h26v03","017","OK"
"1180","h27v03","017","OK"
"1181","h28v03","017","OK"
"1182","h29v03","017","OK"
"1198","h09v02","017","OK"
"1199","h10v02","017","OK"
"1200","h11v02","017","OK"
"1201","h12v02","017","OK"
"1202","h13v02","017","OK"
"1203","h14v02","017","OK"
"1204","h15v02","017","OK"
"1205","h16v02","017","OK"
"1206","h17v02","017","OK"
"1207","h18v02","017","OK"
"1208","h19v02","017","OK"
"1209","h20v02","017","OK"
"1210","h21v02","017","OK"
"1211","h22v02","017","OK"
"1212","h23v02","017","OK"
"1213","h24v02","017","OK"
"1214","h25v02","017","OK"
"1215","h26v02","017","OK"
"1236","h11v01","017","OK"
"1237","h12v01","017","OK"
"1238","h13v01","017","OK"
"1239","h14v01","017","OK"
"1240","h15v01","017","OK"
"1241","h16v01","017","OK"
"1242","h17v01","017","OK"
"1243","h18v01","017","OK"
"1244","h19v01","017","OK"
"1245","h20v01","017","OK"
"1246","h21v01","017","OK"
"1247","h22v01","017","OK"
"1248","h23v01","017","OK"
"1249","h24v01","017","OK"
"1418","h13v14","033","OK"
"1419","h14v14","033","OK"
"1420","h15v14","033","OK"
"1421","h16v14","033","OK"
"1423","h18v14","033","OK"
"1427","h22v14","033","OK"
"1432","h27v14","033","OK"
"1433","h28v14","033","OK"
"1446","h05v13","033","OK"
"1453","h12v13","033","OK"
"1454","h13v13","033","OK"
"1458","h17v13","033","OK"
"1461","h20v13","033","OK"
"1462","h21v13","033","OK"
"1463","h22v13","033","OK"
"1469","h28v13","033","OK"
"1470","h29v13","033","OK"
"1471","h30v13","033","OK"
"1472","h31v13","033","OK"
"1488","h11v12","033","OK"
"1489","h12v12","033","OK"
"1490","h13v12","033","OK"
"1493","h16v12","033","OK"
"1494","h17v12","033","OK"
"1496","h19v12","033","OK"
"1497","h20v12","033","OK"
"1501","h24v12","033","OK"
"1504","h27v12","033","OK"
"1505","h28v12","033","OK"
"1506","h29v12","033","OK"
"1507","h30v12","033","OK"
"1508","h31v12","033","OK"
"1509","h32v12","033","OK"
"1514","h01v11","033","OK"
"1515","h02v11","033","OK"
"1516","h03v11","033","OK"
"1517","h04v11","033","OK"
"1518","h05v11","033","OK"
"1519","h06v11","033","OK"
"1521","h08v11","033","OK"
"1523","h10v11","033","OK"
"1524","h11v11","033","OK"
"1525","h12v11","033","OK"
"1526","h13v11","033","OK"
"1527","h14v11","033","OK"
"1528","h15v11","033","OK"
"1532","h19v11","033","OK"
"1533","h20v11","033","OK"
"1534","h21v11","033","OK"
"1535","h22v11","033","OK"
"1536","h23v11","033","OK"
"1540","h27v11","033","OK"
"1541","h28v11","033","OK"
"1542","h29v11","033","OK"
"1543","h30v11","033","OK"
"1544","h31v11","033","OK"
"1545","h32v11","033","OK"
"1546","h33v11","033","OK"
"1549","h00v10","033","OK"
"1550","h01v10","033","OK"
"1551","h02v10","033","OK"
"1552","h03v10","033","OK"
"1553","h04v10","033","OK"
"1554","h05v10","033","OK"
"1559","h10v10","033","OK"
"1560","h11v10","033","OK"
"1561","h12v10","033","OK"
"1562","h13v10","033","OK"
"1563","h14v10","033","OK"
"1566","h17v10","033","OK"
"1568","h19v10","033","OK"
"1569","h20v10","033","OK"
"1570","h21v10","033","OK"
"1571","h22v10","033","OK"
"1572","h23v10","033","OK"
"1576","h27v10","033","OK"
"1577","h28v10","033","OK"
"1578","h29v10","033","OK"
"1579","h30v10","033","OK"
"1580","h31v10","033","OK"
"1581","h32v10","033","OK"
"1582","h33v10","033","OK"
"1583","h34v10","033","OK"
"1584","h35v10","033","OK"
"1585","h00v09","033","OK"
"1586","h01v09","033","OK"
"1587","h02v09","033","OK"
"1588","h03v09","033","OK"
"1589","h04v09","033","OK"
"1593","h08v09","033","OK"
"1594","h09v09","033","OK"
"1595","h10v09","033","OK"
"1596","h11v09","033","OK"
"1597","h12v09","033","OK"
"1598","h13v09","033","OK"
"1599","h14v09","033","OK"
"1601","h16v09","033","OK"
"1603","h18v09","033","OK"
"1604","h19v09","033","OK"
"1605","h20v09","033","OK"
