TAXNWRB,count,WRB_2006_NAME
Ferric Alisol,24,Haplic Alisols 
Haplic Regosols (Dystric),24,Haplic Regosols (Dystric)
Haplic Solonchaks,24,Haplic Solonchaks
Humic VERTISOL,24,Haplic Vertisols
Rhodic Nitisols,24,Haplic Nitisols (Rhodic)
Calcic KASTAÃ‘OZEM,23,Calcic Kastanozems
Ferralsol,23,Haplic Ferralsols
MOLLIC LEPTOSOL,23,Mollic Leptosols
Aridic LUVISOL,22,Haplic Luvisols
Calcaric REGOSOL,22,Aric Regosols
FERRALIC / HAPLIC ARENOSOL,22,Haplic Arenosols
Fluvisols,22,Haplic Fluvisols
Haplic Cambisols Dystric,22,Haplic Cambisols (Dystric)
HYPERCALCIC CALCISOL,22,Haplic Calcisols
Luvisols,22,Haplic Luvisols
Orthic Podzols,22,Haplic Podzols
Rubic Arenosols,22,Haplic Arenosols
Sodic CAMBISOL,22,Haplic Cambisols (Sodic)
Stagnic Gleyic Luvisol,22,Gleyic Luvisols
Gleyic Acrisols,21,Haplic Acrisols
Haplic Acrisols (Humic),21,Haplic Acrisols (Humic)
Haplic Cambisols Eutric,21,Haplic Cambisols (Eutric)
Mollic Gleysol / Umbric Gleysol,21,Mollic Gleysols / Umbric Gleysols
Aridic ARENOSOL,20,Haplic Arenosols 
Calcaric VERTISOL,20,Haplic Vertisols
CALCIC SOLONETZ,20,Calcic Solonetz
Endoleptic UMBRISOL,20,Leptic Umbrisols
Haplic Fluvisols (Dystric),20,Haplic Fluvisols (Dystric)
"Haplic Vertisol (Calcaric, Chromic)",20,Haplic Vertisols
Vertic GLEYSOL,20,Haplic Gleysols
Eutric LEPTOSOL,19,Haplic Leptosols (Eutric)
Ferrali-Hypoluvic Arenosols,19,Hypoluvic Arenosols
Gelic Gleysol,19,Haplic Gleysols
Gleyic Planosols,19,Endogleyic Planosols
Humic Gleysols,19,Haplic Gleysols
Rendzic Leptosols Eutric,19,Rendzic Leptosols
Rhodic Ferralsols,19,Haplic Ferralsols (Rhodic)
Sodic ARENOSOL,19,Haplic Arenosols
Stagnic Solonetz,19,Mollic Solonetz
Calcaric ARENOSOL,18,Haplic Arenosols (Calcaric)
Calcaric LEPTOSOL,18,Haplic Leptosols
Eutric Regosols,18,Haplic Regosols (Eutric)
LEPTIC-ARENIC REGOSOL,18,Leptic Regosols
Alic Planosol,17,Haplic Planosols (Eutric)
Calcic Luvic Kastanozem,17,Calcic Kastanozems
Gleyic Albeluvisols Abruptic,17,Haplic Albeluvisols
Gleyic Chernozem,17,Haplic Chernozems
Haplic Albeluvisols Abruptic,17,Haplic Albeluvisols
Haplic Kastanozems Chromic,17,Haplic Kastanozems
Humic LEPTOSOL,17,Haplic Leptosols
