"","TAXNWRB","count","WRB_2006_NAME"
"Calcic Solonchak","Calcic Solonchak",30,"Calcic Solonchaks"
"Cutanic Acrisol","Cutanic Acrisol",30,"Cutanic Acrisols"
"Endoleptic CALCISOL","Endoleptic CALCISOL",30,"Leptic Calcisols"
"Entic Podzols","Entic Podzols",30,"Entic Podzols"
"Mollic Fluvisol","Mollic Fluvisol",30,"Mollic Fluvisols"
"Lixic Ferralsol","Lixic Ferralsol",29,"Lixic Ferralsols"
"Cutanic Vertic Alisol","Cutanic Vertic Alisol",28,"Vertic Alisols"
"Dystric Podzoluvisol","Dystric Podzoluvisol",28,NA
"Epileptic CALCISOL","Epileptic CALCISOL",28,"Leptic Calcisols"
"Gelic Leptosol","Gelic Leptosol",28,NA
"Mollic Calcic Vertisol","Mollic Calcic Vertisol",28,"Calcic Vertisols"
"Sodic SOLONCHAK","Sodic SOLONCHAK",28,NA
"Vertic LUVISOL","Vertic LUVISOL",28,"Vertic Luvisols"
"Epileptic VERTISOL","Epileptic VERTISOL",27,NA
"Epipetric DURISOL","Epipetric DURISOL",27,"Petric Durisols"
"Vertic Calcic Chernozem","Vertic Calcic Chernozem",27,"Calcic Chernozems"
"Gleyic Alisol","Gleyic Alisol",26,"Gleyic Alisols"
"Gleyic Lixisol","Gleyic Lixisol",26,"Gleyic Lixisols"
"Aridic CALCISOL","Aridic CALCISOL",25,NA
"Calcic VERTISOL","Calcic VERTISOL",25,"Calcic Vertisols"
"FLUVIC CAMBISOL","FLUVIC CAMBISOL",25,"Fluvic Cambisols"
"Gleyic Fluvisol","Gleyic Fluvisol",25,"Gleyic Fluvisols"
"Haplic Luvisols","Haplic Luvisols",25,"Haplic Luvisols"
"Hemic Histosols","Hemic Histosols",25,"Hemic Histosols"
"Humic CAMBISOL","Humic CAMBISOL",25,NA
"LITHIC LEPTOSOL","LITHIC LEPTOSOL",25,"Lithic Leptosols"
"Pelli-Calcic Vertisols","Pelli-Calcic Vertisols",25,"Calcic Vertisols"
"Rankers","Rankers",25,NA
"Albic Plinthosol","Albic Plinthosol",24,NA
"Cambic Podzol","Cambic Podzol",24,NA
"Epipetrocalcic KASTAﾃ前ZEM","Epipetrocalcic KASTAﾃ前ZEM",24,NA
"Eutric Leptosols","Eutric Leptosols",24,NA
"Ferric Alisol","Ferric Alisol",24,NA
"Haplic Lixisols","Haplic Lixisols",24,"Haplic Lixisols"
"Humic VERTISOL","Humic VERTISOL",24,NA
"Rhodic Nitisols","Rhodic Nitisols",24,NA
"Calcic KASTAﾃ前ZEM","Calcic KASTAﾃ前ZEM",23,NA
"Ferralsol","Ferralsol",23,NA
"MOLLIC LEPTOSOL","MOLLIC LEPTOSOL",23,"Mollic Leptosols"
"Aridic LUVISOL","Aridic LUVISOL",22,NA
"Calcaric REGOSOL","Calcaric REGOSOL",22,"Aric Regosols"
"FERRALIC / HAPLIC ARENOSOL","FERRALIC / HAPLIC ARENOSOL",22,"Haplic Arenosols"
"Fluvisols","Fluvisols",22,NA
"Haplic Cambisols Dystric","Haplic Cambisols Dystric",22,"Haplic Cambisols"
"HYPERCALCIC CALCISOL","HYPERCALCIC CALCISOL",22,"Hypercalcic Calcisols"
"Luvisols","Luvisols",22,NA
"Mollic Solonetz","Mollic Solonetz",22,"Mollic Solonetz"
"Orthic Podzols","Orthic Podzols",22,"Vitric Acrisols"
"Rubic Arenosols","Rubic Arenosols",22,"Rubic Arenosols"
"Sodic CAMBISOL","Sodic CAMBISOL",22,NA
"Stagnic Gleyic Luvisol","Stagnic Gleyic Luvisol",22,"Gleyic Luvisols"
"Haplic Cambisols Eutric","Haplic Cambisols Eutric",21,"Haplic Cambisols"
"Mollic Gleysol / Umbric Gleysol","Mollic Gleysol / Umbric Gleysol",21,"Umbric Gleysols"
"Aridic ARENOSOL","Aridic ARENOSOL",20,NA
"Calcaric VERTISOL","Calcaric VERTISOL",20,NA
"CALCIC SOLONETZ","CALCIC SOLONETZ",20,"Calcic Solonetz"
"Endoleptic UMBRISOL","Endoleptic UMBRISOL",20,"Leptic Umbrisols"
"Haplic Vertisol (Calcaric, Chromic)","Haplic Vertisol (Calcaric, Chromic)",20,"Haplic Vertisols"
"Vertic GLEYSOL","Vertic GLEYSOL",20,NA
"Eutric LEPTOSOL","Eutric LEPTOSOL",19,NA
"Ferrali-Hypoluvic Arenosols","Ferrali-Hypoluvic Arenosols",19,"Stagnic Acrisols"
"Gelic Gleysol","Gelic Gleysol",19,NA
"Gleyic Planosols","Gleyic Planosols",19,NA
"Humic Gleysols","Humic Gleysols",19,NA
"Rendzic Leptosols Eutric","Rendzic Leptosols Eutric",19,"Rendzic Leptosols"
"Rhodic Ferralsols","Rhodic Ferralsols",19,NA
"Sodic ARENOSOL","Sodic ARENOSOL",19,NA
"Stagnic Solonetz","Stagnic Solonetz",19,"Stagnic Solonetz"
"Calcaric ARENOSOL","Calcaric ARENOSOL",18,NA
"Calcaric LEPTOSOL","Calcaric LEPTOSOL",18,NA
"Eutric Regosols","Eutric Regosols",18,NA
"LEPTIC-ARENIC REGOSOL","LEPTIC-ARENIC REGOSOL",18,NA
"Alic Planosol","Alic Planosol",17,"Alic Planosols"
"Calcic Luvic Kastanozem","Calcic Luvic Kastanozem",17,"Luvic Kastanozems"
"Gleyic Albeluvisols Abruptic","Gleyic Albeluvisols Abruptic",17,"Gleyic Albeluvisols"
"Gleyic Chernozem","Gleyic Chernozem",17,"Gleyic Chernozems"
"Haplic Albeluvisols Abruptic","Haplic Albeluvisols Abruptic",17,"Haplic Albeluvisols"
"Haplic Kastanozems Chromic","Haplic Kastanozems Chromic",17,"Haplic Kastanozems"
"Humic LEPTOSOL","Humic LEPTOSOL",17,NA
"LEPTIC CALCISOL","LEPTIC CALCISOL",17,"Leptic Calcisols"
"Luvic Phaeozems Albic","Luvic Phaeozems Albic",17,"Luvic Phaeozems"
"Mollic Planosol","Mollic Planosol",17,"Mollic Planosols"
"Mollic Solonchak","Mollic Solonchak",17,"Mollic Solonchaks"
"Profondic LUVISOL","Profondic LUVISOL",17,NA
"Sodic REGOSOL","Sodic REGOSOL",17,NA
"Vertic Luvic Phaeozem","Vertic Luvic Phaeozem",17,"Luvic Phaeozems"
"Vertic Phaeozem","Vertic Phaeozem",17,"Vertic Phaeozems"
"Arenic FLUVISOL","Arenic FLUVISOL",16,NA
"Gleyic Podzoluvisol","Gleyic Podzoluvisol",16,"Leptic Acrisols"
"Gypsic Regosol","Gypsic Regosol",16,NA
"Haplic Alisols","Haplic Alisols",16,"Haplic Alisols"
"Haplic Gleysols Dystric","Haplic Gleysols Dystric",16,"Haplic Gleysols"
"Haplic PHAEOZEM","Haplic PHAEOZEM",16,"Haplic Phaeozems"
"Hypersodic ARENOSOL","Hypersodic ARENOSOL",16,NA
"Hyposodic LUVISOL","Hyposodic LUVISOL",16,NA
"Luvic Gleysol","Luvic Gleysol",16,"Luvic Gleysols"
"Acri-xanthic Ferralsol","Acri-xanthic Ferralsol",15,NA
"Aric Anthrosol","Aric Anthrosol",15,NA
"Aridic CAMBISOL","Aridic CAMBISOL",15,NA
"CHROMIC LUVISOL","CHROMIC LUVISOL",15,NA
"Epipetric GIPSISOL","Epipetric GIPSISOL",15,NA
"Ferralic Arenosols","Ferralic Arenosols",15,"Ferralic Arenosols"
"Fimic Anthrosol","Fimic Anthrosol",15,NA
"Humic UMBRISOL","Humic UMBRISOL",15,NA
"Hypersodic CALCISOL","Hypersodic CALCISOL",15,NA
"Hypersodic CAMBISOL","Hypersodic CAMBISOL",15,NA
"Petric Gypsisol","Petric Gypsisol",15,"Petric Gypsisols"
"Stagnic Albeluvisol","Stagnic Albeluvisol",15,"Stagnic Albeluvisols"
"Stagnic Phaeozem","Stagnic Phaeozem",15,"Stagnic Phaeozems"
"Vertic PHAEOZEM","Vertic PHAEOZEM",15,"Vertic Phaeozems"
"Calcaric Cambisols","Calcaric Cambisols",14,NA
"Calcaric FLUVISOL","Calcaric FLUVISOL",14,NA
"CALCARIC REGOSOL","CALCARIC REGOSOL",14,"Aric Regosols"
"Chromic LUVISOL","Chromic LUVISOL",14,NA
"Endogleyic Cambisols Dystric","Endogleyic Cambisols Dystric",14,"Technic Acrisols"
"Epileptic UMBRISOL","Epileptic UMBRISOL",14,"Leptic Umbrisols"
"FERRALIC-LAMELLIC ARENOSOL","FERRALIC-LAMELLIC ARENOSOL",14,"Lamellic Arenosols"
"HYPOSALIC ARENOSOL","HYPOSALIC ARENOSOL",14,NA
"Mollic Andosols","Mollic Andosols",14,"Mollic Andosols"
"Mollic Ferralsol","Mollic Ferralsol",14,"Mollic Ferralsols"
"Pellic VERTISOL","Pellic VERTISOL",14,NA
"Sapric Histosols","Sapric Histosols",14,"Sapric Histosols"
"Umbrihumic LUVISOL","Umbrihumic LUVISOL",14,NA
"Vertic Calcic Luvisol","Vertic Calcic Luvisol",14,"Calcic Luvisols"
"Albic Stagnic Luvisol","Albic Stagnic Luvisol",13,"Stagnic Luvisols"
"Chromic Lixisols","Chromic Lixisols",13,NA
"Eutric Arenosols","Eutric Arenosols",13,NA
"Grumic Vertisol","Grumic Vertisol",13,"Grumic Vertisols"
"Haplic CALCISOL","Haplic CALCISOL",13,"Haplic Calcisols"
"Histic Albeluvisols Abruptic","Histic Albeluvisols Abruptic",13,"Histic Albeluvisols"
"Humic Alisol","Humic Alisol",13,NA
"Hypersodic VERTISOL","Hypersodic VERTISOL",13,"Sodic Vertisols"
"Hyposodic ARENOSOL","Hyposodic ARENOSOL",13,NA
"LEPTIC-CALCARIC REGOSOL","LEPTIC-CALCARIC REGOSOL",13,"Aric Regosols"
"NATRIC-CALCIC VERTISOL","NATRIC-CALCIC VERTISOL",13,"Calcic Vertisols"
"Petric Calcisols","Petric Calcisols",13,"Petric Calcisols"
"Plinthic Lixisol","Plinthic Lixisol",13,"Plinthic Lixisols"
"Sodic LUVISOL","Sodic LUVISOL",13,NA
"Umbric Regosol","Umbric Regosol",13,"Umbric Regosols"
"Vertic Alisol","Vertic Alisol",13,"Vertic Alisols"
"Vertic CHERNOZEM","Vertic CHERNOZEM",13,"Vertic Chernozems"
"Vitric Cryosols Dystric","Vitric Cryosols Dystric",13,"Vitric Cryosols"
"Albic Arenosols","Albic Arenosols",12,"Albic Arenosols"
"Dystric Regosols","Dystric Regosols",12,NA
"Endopetric DURISOL","Endopetric DURISOL",12,"Petric Durisols"
"Endopetric GIPSISOL","Endopetric GIPSISOL",12,NA
"Eutric Plinthosol","Eutric Plinthosol",12,NA
"Fibric Histosols Dystric","Fibric Histosols Dystric",12,"Fibric Histosols"
"Haplic LUVISOL","Haplic LUVISOL",12,"Haplic Luvisols"
"Haplic Stagnosol","Haplic Stagnosol",12,"Haplic Stagnosols"
"LEPTIC CAMBISOL","LEPTIC CAMBISOL",12,"Leptic Cambisols"
"Luvic Phaeozems","Luvic Phaeozems",12,"Luvic Phaeozems"
"Luvic Stagnosols Dystric","Luvic Stagnosols Dystric",12,"Luvic Stagnosols"
"Pellic Vertisol","Pellic Vertisol",12,NA
"Plinthic Alisol","Plinthic Alisol",12,"Plinthic Alisols"
"Rubic Arenosols Eutric","Rubic Arenosols Eutric",12,"Rubic Arenosols"
"SODIC GYPSISOL","SODIC GYPSISOL",12,NA
"Umbric Acrisol","Umbric Acrisol",12,"Umbric Acrisols"
"Vetic Acrisol","Vetic Acrisol",12,"Vetic Acrisols"
"Alcalic SOLONETZ","Alcalic SOLONETZ",11,NA
"Calcic Chernozem / Luvic Phaeozem","Calcic Chernozem / Luvic Phaeozem",11,"Luvic Phaeozems"
"Calcic Geysols Humic","Calcic Geysols Humic",11,NA
"Calcic Histosols","Calcic Histosols",11,"Calcic Histosols"
"Cutanic Vertic Luvisol","Cutanic Vertic Luvisol",11,"Vertic Luvisols"
"Endoleptic CHERNOZEM","Endoleptic CHERNOZEM",11,"Leptic Chernozems"
"Endoleptic PLANOSOL","Endoleptic PLANOSOL",11,NA
"Endosodic VERTISOL","Endosodic VERTISOL",11,"Sodic Vertisols"
"Eutric Nitisol","Eutric Nitisol",11,NA
"FERRALIC CAMBISOL","FERRALIC CAMBISOL",11,"Ferralic Cambisols"
"Gelic Regosol","Gelic Regosol",11,NA
"Gleyic Vertisols Eutric","Gleyic Vertisols Eutric",11,"Gleyic Vertisols"
"HAPLIC CAMBISOL","HAPLIC CAMBISOL",11,"Haplic Cambisols"
"Haplic Cryosols Reductaquic","Haplic Cryosols Reductaquic",11,"Haplic Cryosols"
"Haplic Podzols","Haplic Podzols",11,"Haplic Podzols"
"Hypersodic GLEYSOL","Hypersodic GLEYSOL",11,NA
"Hypersodic REGOSOL","Hypersodic REGOSOL",11,NA
"Hyposodic VERTISOL","Hyposodic VERTISOL",11,"Sodic Vertisols"
"LEPTIC-MOLLIC CAMBISOL","LEPTIC-MOLLIC CAMBISOL",11,NA
"LEPTIC-SKELETIC REGOSOL","LEPTIC-SKELETIC REGOSOL",11,NA
"Mollic Leptosols Eutric","Mollic Leptosols Eutric",11,"Mollic Leptosols"
"Paraplinthic Acrisols","Paraplinthic Acrisols",11,"Umbric Acrisols"
"Plinthic Ferralsol","Plinthic Ferralsol",11,"Plinthic Ferralsols"
"Sodic PHAEOZEM","Sodic PHAEOZEM",11,NA
"Umbric Fluvisol","Umbric Fluvisol",11,"Umbric Fluvisols"
"Umbric Fluvisols Oxyaquic","Umbric Fluvisols Oxyaquic",11,"Umbric Fluvisols"
"Umbric LUVISOL","Umbric LUVISOL",11,NA
"Vertic Calcic Luvic Chernozem","Vertic Calcic Luvic Chernozem",11,"Luvic Chernozems"
"Veti-Acric Ferralsol","Veti-Acric Ferralsol",11,"Acric Ferralsols"
"Endopetroduric PHAEOZEM","Endopetroduric PHAEOZEM",10,"Petroduric Phaeozems"
"Endoskeletic LUVISOL","Endoskeletic LUVISOL",10,NA
