World_Soil_Map_1974_Group,World_Soil_Map_1974_Subgroup,World_Soil_Map_1984_Group,World_Soil_Map_1984_Subgroup,WRB_1994_Group,WRB_1994_Subgroup,WRB_1998_Group,WRB_1998_Subgroup,WRB_2006_Group,WRB_2006_Prefixes,WRB_2006_Suffixes,WRB_2014_Group,WRB_2014_Subgroup,WRB_2006_NAME,FAO_1974_NAME,WRB_1994_NAME
,,,,Umbrisols,,Umbrisols,Stagnic,Umbrisols,Stagnic,,,,Stagnic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Mollic,,,,Mollic Umbrisols, , Umbrisols
,,,,Umbrisols,Cambic,Umbrisols,,Umbrisols,Cambic,,,,Cambic Umbrisols, ,Cambic Umbrisols
,,,,Umbrisols,Haplic,Umbrisols,Haplic,Umbrisols,Haplic,,,,Haplic Umbrisols, ,Haplic Umbrisols
,,,,Umbrisols,,Umbrisols,Anthric,Umbrisols,Haplic,Anthric,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,Albic,Umbrisols,Albic,Umbrisols,Haplic,Albic,,,Haplic Umbrisols, ,Albic Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Brunic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Ornithic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Thionic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Glossic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,Humic,Umbrisols,Haplic,Humic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Alumic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Hyperdystric,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Endoeutric,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Pachic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Turbic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,Gelic,Umbrisols,Gelic,Umbrisols,Haplic,Gelic,,,Haplic Umbrisols, ,Gelic Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Oxiaquic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Greyic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Laxic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Placic,,,Haplic Umbrisols, , Umbrisols
,,,,Umbrisols,,Umbrisols,,Umbrisols,Haplic,Densic,,,Haplic Umbrisols, , Umbrisols
